grau_risco,grau_risco_descricao,cnae_classe,cnae_descricao,cnae_secao,cnae_descricao_secao,sexo,faixa_etaria,total_obitos,obitos_acidente_trabalho,pct_acidente_trabalho,vinculos_cnae,taxa_obitos_por_mil_vinculos
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,F,65+,1,0,0.0,12888,0.078
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,F,Não informada,1,0,0.0,12888,0.078
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,F,Não informada,1,0,0.0,12888,0.078
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,F,Não informada,1,0,0.0,12888,0.078
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,65+,1,0,0.0,12888,0.078
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,65+,1,0,0.0,12888,0.078
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,65+,2,0,0.0,12888,0.155
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,65+,3,0,0.0,12888,0.233
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,65+,4,0,0.0,12888,0.31
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,65+,1,0,0.0,12888,0.078
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,65+,2,0,0.0,12888,0.155
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,65+,1,0,0.0,12888,0.078
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,6,1,16.7,12888,0.466
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,3,0,0.0,12888,0.233
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,2,0,0.0,12888,0.155
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,10,0,0.0,12888,0.776
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,6,0,0.0,12888,0.466
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,1,0,0.0,12888,0.078
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,1,0,0.0,12888,0.078
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,12,0,0.0,12888,0.931
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,1,0,0.0,12888,0.078
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,5,0,0.0,12888,0.388
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,1,0,0.0,12888,0.078
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,7,0,0.0,12888,0.543
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,2,0,0.0,12888,0.155
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,2,0,0.0,12888,0.155
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,10,0,0.0,12888,0.776
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,10,0,0.0,12888,0.776
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,5,0,0.0,12888,0.388
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,M,Não informada,1,0,0.0,12888,0.078
4,Critico,09106,Atividades de apoio à extração de petróleo e gás natural,B,Indústrias Extrativas,M,Não informada,1,0,0.0,466,2.146
4,Critico,20924,Fabricação de explosivos,C,Indústrias De Transformação,M,65+,1,0,0.0,1124,0.89
4,Critico,20924,Fabricação de explosivos,C,Indústrias De Transformação,M,Não informada,3,0,0.0,1124,2.669
4,Critico,20924,Fabricação de explosivos,C,Indústrias De Transformação,M,Não informada,1,0,0.0,1124,0.89
4,Critico,20924,Fabricação de explosivos,C,Indústrias De Transformação,M,Não informada,3,0,0.0,1124,2.669
4,Critico,23303,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",C,Indústrias De Transformação,F,65+,1,0,0.0,26835,0.037
4,Critico,23303,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",C,Indústrias De Transformação,F,Não informada,1,0,0.0,26835,0.037
4,Critico,23303,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",C,Indústrias De Transformação,M,65+,1,0,0.0,26835,0.037
4,Critico,23303,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",C,Indústrias De Transformação,M,Não informada,1,0,0.0,26835,0.037
4,Critico,23303,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",C,Indústrias De Transformação,M,Não informada,1,0,0.0,26835,0.037
4,Critico,23303,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",C,Indústrias De Transformação,M,Não informada,2,0,0.0,26835,0.075
4,Critico,23303,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",C,Indústrias De Transformação,M,Não informada,1,0,0.0,26835,0.037
4,Critico,23303,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",C,Indústrias De Transformação,M,Não informada,1,0,0.0,26835,0.037
4,Critico,23303,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",C,Indústrias De Transformação,M,Não informada,4,0,0.0,26835,0.149
4,Critico,23419,Fabricação de produtos cerâmicos refratários,C,Indústrias De Transformação,M,Não informada,1,0,0.0,2871,0.348
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,F,65+,1,0,0.0,7577,0.132
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,F,Não informada,8,0,0.0,7577,1.056
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,F,Não informada,11,0,0.0,7577,1.452
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,M,65+,1,0,0.0,7577,0.132
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,M,65+,2,0,0.0,7577,0.264
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,M,65+,4,0,0.0,7577,0.528
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,M,65+,1,0,0.0,7577,0.132
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,M,Não informada,11,0,0.0,7577,1.452
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,M,Não informada,1,0,0.0,7577,0.132
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,M,Não informada,23,1,4.3,7577,3.036
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,M,Não informada,1,0,0.0,7577,0.132
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,M,Não informada,1,0,0.0,7577,0.132
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,M,Não informada,5,0,0.0,7577,0.66
4,Critico,24121,Produção de ferroligas,C,Indústrias De Transformação,M,Não informada,3,0,0.0,817,3.672
