cnae_classe,cnae_descricao,cnae_secao,grau_risco,grau_risco_descricao,total_vinculos,total_acidentes,total_obitos,taxa_acidentes_por_mil,rank_por_acidentes
42219,Obras para geração e distribuição de energia elétrica e para telecomunicações,Construção,4,Critico,41249,920,8,22.3,42
42111,Construção de rodovias e ferrovias,Construção,4,Critico,40504,755,1,18.64,55
25390,"Serviços de usinagem, solda, tratamento e revestimento em metais",Indústrias De Transformação,4,Critico,29070,695,1,23.91,59
23303,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",Indústrias De Transformação,4,Critico,26835,662,2,24.67,61
24512,Fundição de ferro e aço,Indústrias De Transformação,4,Critico,10053,547,2,54.41,73
42928,Montagem de instalações industriais e de estruturas metálicas,Construção,4,Critico,40970,533,2,13.01,76
25322,Produção de artefatos estampados de metal; metalurgia do pó,Indústrias De Transformação,4,Critico,12354,402,0,32.54,98
08100,"Extração de pedra, areia e argila",Indústrias Extrativas,4,Critico,12888,359,6,27.86,112
25110,Fabricação de estruturas metálicas,Indústrias De Transformação,4,Critico,9712,331,0,34.08,121
24521,Fundição de metais não ferrosos e suas ligas,Indústrias De Transformação,4,Critico,6267,269,1,42.92,148
25926,Fabricação de produtos de trefilados de metal,Indústrias De Transformação,4,Critico,14455,264,0,18.26,150
43916,Obras de fundações,Construção,4,Critico,9078,218,1,24.01,177
24415,Metalurgia do alumínio e suas ligas,Indústrias De Transformação,4,Critico,12975,217,5,16.72,178
42227,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",Construção,4,Critico,7842,182,0,23.21,204
23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,Indústrias De Transformação,4,Critico,7577,159,0,20.98,221
24245,"Produção de relaminados, trefilados e perfilados de aço",Indústrias De Transformação,4,Critico,5880,153,0,26.02,227
24237,Produção de laminados longos de aço,Indústrias De Transformação,4,Critico,5856,97,0,16.56,293
24318,Produção de tubos de aço com costura,Indústrias De Transformação,4,Critico,3483,93,0,26.7,299
24431,Metalurgia do cobre,Indústrias De Transformação,4,Critico,3251,89,0,27.38,304
25314,Produção de forjados de aço e de metais não ferrosos e suas ligas,Indústrias De Transformação,4,Critico,2401,87,1,36.23,307
24491,Metalurgia dos metais não ferrosos e suas ligas não especificados anteriormente,Indústrias De Transformação,4,Critico,2694,52,0,19.3,366
25501,"Fabricação de equipamento bélico pesado, armas de fogo e munições",Indústrias De Transformação,4,Critico,3329,50,0,15.02,372
23419,Fabricação de produtos cerâmicos refratários,Indústrias De Transformação,4,Critico,2871,49,0,17.07,375
24393,Produção de outros tubos de ferro e aço,Indústrias De Transformação,4,Critico,1159,41,0,35.38,399
24121,Produção de ferroligas,Indústrias De Transformação,4,Critico,817,41,0,50.18,399
43126,Perfurações e sondagens,Construção,4,Critico,1910,40,0,20.94,405
20924,Fabricação de explosivos,Indústrias De Transformação,4,Critico,1124,39,0,34.7,408
43118,Demolição e preparação de canteiros de obras,Construção,4,Critico,2522,38,0,15.07,410
42120,Construção de obras de arte especiais,Construção,4,Critico,4041,32,0,7.92,430
42910,"Obras portuárias, marítimas e fluviais",Construção,4,Critico,1862,27,0,14.5,452
23206,Fabricação de cimento,Indústrias De Transformação,4,Critico,1949,22,0,11.29,466
24229,Produção de laminados planos de aço,Indústrias De Transformação,4,Critico,3096,22,0,7.11,466
08991,Extração de minerais não metálicos não especificados anteriormente,Indústrias Extrativas,4,Critico,1159,22,0,18.98,466
23923,Fabricação de cal e gesso,Indústrias De Transformação,4,Critico,557,17,3,30.52,490
09904,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",Indústrias Extrativas,4,Critico,128,14,0,109.38,500
08916,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",Indústrias Extrativas,4,Critico,258,12,0,46.51,514
02209,Produção florestal - florestas nativas,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",4,Critico,1035,12,0,11.59,514
42235,"Construção de redes de transportes por dutos, exceto para água e esgoto",Construção,4,Critico,1851,10,0,5.4,531
06000,Extração de petróleo e gás natural,Indústrias Extrativas,4,Critico,61,8,0,131.15,538
24211,Produção de semiacabados de aço,Indústrias De Transformação,4,Critico,96,8,0,83.33,538
09106,Atividades de apoio à extração de petróleo e gás natural,Indústrias Extrativas,4,Critico,466,4,0,8.58,575
24423,Metalurgia dos metais preciosos,Indústrias De Transformação,4,Critico,264,4,0,15.15,575
07294,Extração de minerais metálicos não ferrosos não especificados anteriormente,Indústrias Extrativas,4,Critico,90,1,0,11.11,607
07219,Extração de minério de alumínio,Indústrias Extrativas,4,Critico,79,1,0,12.66,607
08932,Extração de gemas (pedras preciosas e semipreciosas),Indústrias Extrativas,4,Critico,23,0,0,,616
07251,Extração de minerais radioativos,Indústrias Extrativas,4,Critico,6,0,0,,616
