cnae_classe,cnae_descricao_classe,ano_inicio,ano_fim,acidentes_trabalho,acidentes_trajeto,obitos,obitos_trabalho,total_vinculos,taxa_acidente,taxa_obito,score_base,agravante_obito,score_risco
86101,Atividades de atendimento hospitalar,2018,2024,261104,49235,126,38,9736282,0.026818,0.000146,5,0,5
10121,"Abate de suínos, aves e outros pequenos animais",2018,2024,57964,6418,101,31,2464068,0.023524,0.000535,5,0,5
38114,Coleta de resíduos não perigosos,2018,2024,34298,4137,100,54,1110675,0.030880,0.001574,5,0,5
10112,"Abate de reses, exceto suínos",2018,2024,30715,2878,84,31,998072,0.030774,0.001009,5,0,5
53105,Atividades de Correio,2018,2024,23213,2666,14,9,772414,0.030053,0.000388,5,0,5
86607,Atividades de apoio à gestão de saúde,2018,2024,20491,3608,10,5,1313732,0.015598,0.000244,5,0,5
24512,Fundição de ferro e aço,2018,2024,14867,875,16,6,307500,0.048348,0.000404,5,0,5
22226,Fabricação de embalagens de material plástico,2018,2024,14607,2705,33,21,922732,0.015830,0.001438,5,0,5
28330,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação",2018,2024,13397,1621,31,17,535866,0.025001,0.001269,5,0,5
25993,Fabricação de produtos de metal não especificados anteriormente,2018,2024,11764,1972,25,8,665346,0.017681,0.000680,5,0,5
42111,Construção de rodovias e ferrovias,2018,2024,11701,1450,162,131,1084040,0.010794,0.011196,4,1,5
86909,Atividades de atenção à saúde humana não especificadas anteriormente,2018,2024,11400,2150,6,4,644180,0.017697,0.000351,5,0,5
10139,Fabricação de produtos de carne,2018,2024,11325,1540,29,11,523074,0.021651,0.000971,5,0,5
29301,"Fabricação de cabines, carrocerias e reboques para veículos automotores",2018,2024,11066,1077,17,9,336649,0.032871,0.000813,5,0,5
16102,Desdobramento de madeira,2018,2024,9292,664,104,87,468989,0.019813,0.009363,5,0,5
10660,Fabricação de alimentos para animais,2018,2024,7236,1441,51,28,470178,0.015390,0.003870,5,0,5
01415,Produção de sementes certificadas,2018,2024,7216,747,76,53,141344,0.051053,0.007345,5,0,5
25110,Fabricação de estruturas metálicas,2018,2024,7090,842,44,40,375373,0.018888,0.005642,5,0,5
08100,"Extração de pedra, areia e argila",2018,2024,6107,873,91,76,465075,0.013131,0.012445,4,1,5
46877,Comércio atacadista de resíduos e sucatas,2018,2024,5506,687,35,26,334079,0.016481,0.004722,5,0,5
28691,Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente,2018,2024,4497,821,10,5,294379,0.015276,0.001112,5,0,5
49124,Transporte metroferroviário de passageiros,2018,2024,4150,1198,13,12,243317,0.017056,0.002892,5,0,5
