grau_risco,grau_risco_descricao,cnae_classe,cnae_descricao,cnae_secao,cnae_descricao_secao,total_acidentes,total_obitos,taxa_obito_pct,acidentes_m,acidentes_f,pct_masculino,top_natureza_lesao,pct_top_natureza,top_parte_corpo,pct_top_parte,top_agente_causador,pct_top_agente,faixa_etaria_dominante,pct_faixa_dominante
4,Critico,02209,Produção florestal - florestas nativas,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",12.0,0.0,0.0,9.0,3.0,75.0,Fratura,33.3,"Perna (Do Tornozelo, Exclusive, ao Joelho, Ex",33.3,Rua e Estrada - Superficie Utilizada para Sus,25.0,55-64,25.0
4,Critico,06000,Extração de petróleo e gás natural,B,Indústrias Extrativas,8.0,0.0,0.0,6.0,2.0,75.0,"Doenca, Nic",37.5,"Sistemas e Aparelhos, Nic",37.5,"Martelo, Malho, Marreta- Ferramenta Manual Se",37.5,45-54,62.5
4,Critico,07219,Extração de minério de alumínio,B,Indústrias Extrativas,1.0,0.0,0.0,1.0,,100.0,"Outras Lesoes, Nic",100.0,"Face, Partes Multiplas (Qualquer Combinacao D",100.0,Impacto Sofrido por Pes. de Objeto Projetad,100.0,18-24,100.0
4,Critico,07294,Extração de minerais metálicos não ferrosos não especificados anteriormente,B,Indústrias Extrativas,1.0,0.0,0.0,1.0,,100.0,Queimadura ou Escaldadura - Efeito de Tempe,100.0,Torax (Inclusive Orgaos Internos),100.0,"Caldeira, Vaso Sob Pressao, Nic",100.0,35-44,100.0
4,Critico,08100,"Extração de pedra, areia e argila",B,Indústrias Extrativas,359.0,6.0,1.67,342.0,10.0,95.3,Fratura,20.9,Dedo,27.0,Impacto Sofrido por Pes. de Objeto Que Cai,6.7,25-34,25.3
4,Critico,08916,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",B,Indústrias Extrativas,12.0,0.0,0.0,5.0,6.0,41.7,"Corte, Laceracao, Ferida Contusa, Punctura",50.0,"Cabeca, Partes Multiplas (Qualquer Combinacao",50.0,"Ferramenta Manual sem Forca Motriz, Nic",33.3,25-34,41.7
4,Critico,08991,Extração de minerais não metálicos não especificados anteriormente,B,Indústrias Extrativas,22.0,0.0,0.0,22.0,,100.0,"Lesao Imediata, Nic",31.8,"Cabeca, Nic",22.7,Impacto de Pes. Contra Objeto Parado,18.2,55-64,54.5
4,Critico,09106,Atividades de apoio à extração de petróleo e gás natural,B,Indústrias Extrativas,4.0,0.0,0.0,1.0,3.0,25.0,"Outras Lesoes, Nic",75.0,Artelho,75.0,"Queda de Pes. com Dif. de Nivel, Nic",75.0,35-44,100.0
4,Critico,09904,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",B,Indústrias Extrativas,14.0,0.0,0.0,14.0,,100.0,"Escoriacao, Abrasao (Ferimento Superficial)",35.7,Mao (Exceto Punho ou Dedos),28.6,Impacto de Pes. Contra Objeto Parado,21.4,35-44,64.3
4,Critico,20924,Fabricação de explosivos,C,Indústrias De Transformação,39.0,0.0,0.0,36.0,3.0,92.3,Lesao Imediata,35.9,Mao (Exceto Punho ou Dedos),17.9,Acido,23.1,25-34,43.6
4,Critico,23206,Fabricação de cimento,C,Indústrias De Transformação,22.0,0.0,0.0,18.0,4.0,81.8,Fratura,31.8,Pe (Exceto Artelhos),22.7,Impacto Sofrido por Pes. de Objeto Projetad,13.6,35-44,54.5
4,Critico,23303,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",C,Indústrias De Transformação,662.0,2.0,0.3,632.0,25.0,95.5,Fratura,24.6,Dedo,26.6,Impacto Sofrido por Pes. de Objeto Que Cai,10.7,35-44,28.1
4,Critico,23419,Fabricação de produtos cerâmicos refratários,C,Indústrias De Transformação,49.0,0.0,0.0,45.0,4.0,91.8,Fratura,49.0,Dedo,40.8,"Martelo, Malho, Marreta- Ferramenta Manual Se",14.3,18-24,26.5
4,Critico,23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,C,Indústrias De Transformação,159.0,0.0,0.0,133.0,26.0,83.6,"Corte, Laceracao, Ferida Contusa, Punctura",19.5,Dedo,32.1,Impacto de Pes. Contra Objeto em Movimento,7.5,25-34,32.1
4,Critico,23923,Fabricação de cal e gesso,C,Indústrias De Transformação,17.0,3.0,17.65,17.0,,100.0,Envenenamento Sistemico - Condicao Morbida,17.6,"Perna (Do Tornozelo, Exclusive, ao Joelho, Ex",23.5,Veiculo Rodoviario Motorizado,23.5,35-44,41.2
4,Critico,24121,Produção de ferroligas,C,Indústrias De Transformação,41.0,0.0,0.0,40.0,1.0,97.6,Lesao Imediata,17.1,Dedo,26.8,Produto Mineral nao Metalico - Produto de Min,12.2,25-34,43.9
4,Critico,24211,Produção de semiacabados de aço,C,Indústrias De Transformação,8.0,0.0,0.0,8.0,,100.0,Queimadura ou Escaldadura - Efeito de Tempe,37.5,Dedo,37.5,"Forno, Estufa, Retorta, Aquecedor de Ambiente",37.5,45-54,50.0
4,Critico,24229,Produção de laminados planos de aço,C,Indústrias De Transformação,22.0,0.0,0.0,21.0,1.0,95.5,"Corte, Laceracao, Ferida Contusa, Punctura",54.5,Mao (Exceto Punho ou Dedos),36.4,"Metal - Inclui Liga Ferrosa e nao Ferrosa, Tu",31.8,35-44,54.5
4,Critico,24237,Produção de laminados longos de aço,C,Indústrias De Transformação,97.0,0.0,0.0,77.0,18.0,79.4,Fratura,18.6,Dedo,37.1,"Metal - Inclui Liga Ferrosa e nao Ferrosa, Tu",15.5,35-44,42.3
4,Critico,24245,"Produção de relaminados, trefilados e perfilados de aço",C,Indústrias De Transformação,153.0,0.0,0.0,146.0,7.0,95.4,"Corte, Laceracao, Ferida Contusa, Punctura",32.7,Dedo,39.9,"Metal - Inclui Liga Ferrosa e nao Ferrosa, Tu",32.7,35-44,28.1
4,Critico,24318,Produção de tubos de aço com costura,C,Indústrias De Transformação,93.0,0.0,0.0,92.0,,98.9,"Corte, Laceracao, Ferida Contusa, Punctura",21.5,Dedo,23.7,"Metal - Inclui Liga Ferrosa e nao Ferrosa, Tu",15.1,25-34,34.4
4,Critico,24393,Produção de outros tubos de ferro e aço,C,Indústrias De Transformação,41.0,0.0,0.0,41.0,,100.0,"Corte, Laceracao, Ferida Contusa, Punctura",34.1,Dedo,26.8,Impacto de Pes. Contra Objeto Parado,14.6,35-44,43.9
4,Critico,24415,Metalurgia do alumínio e suas ligas,C,Indústrias De Transformação,217.0,5.0,2.3,196.0,19.0,90.3,"Corte, Laceracao, Ferida Contusa, Punctura",20.3,Dedo,27.6,Rua e Estrada - Superficie Utilizada para Sus,6.5,25-34,31.8
4,Critico,24423,Metalurgia dos metais preciosos,C,Indústrias De Transformação,4.0,0.0,0.0,4.0,,100.0,Lesao Imediata,50.0,Dedo,50.0,"Substancia Quimica, Nic",50.0,45-54,50.0
4,Critico,24431,Metalurgia do cobre,C,Indústrias De Transformação,89.0,0.0,0.0,87.0,,97.8,Fratura,32.6,Dedo,49.4,"Ferramenta, Maquina, Equip., Veiculo, Ni",34.8,35-44,41.6
4,Critico,24491,Metalurgia dos metais não ferrosos e suas ligas não especificados anteriormente,C,Indústrias De Transformação,52.0,0.0,0.0,40.0,12.0,76.9,Fratura,23.1,Pe (Exceto Artelhos),19.2,"Veiculo, Nic",15.4,18-24,28.8
4,Critico,24512,Fundição de ferro e aço,C,Indústrias De Transformação,547.0,2.0,0.37,524.0,18.0,95.8,Fratura,17.6,Dedo,28.7,"Metal - Inclui Liga Ferrosa e nao Ferrosa, Tu",15.5,25-34,38.0
4,Critico,24521,Fundição de metais não ferrosos e suas ligas,C,Indústrias De Transformação,269.0,1.0,0.37,263.0,6.0,97.8,Fratura,18.6,Dedo,27.1,Impacto Sofrido por Pes. de Objeto Que Cai,7.1,35-44,35.3
4,Critico,25110,Fabricação de estruturas metálicas,C,Indústrias De Transformação,331.0,0.0,0.0,312.0,8.0,94.3,"Corte, Laceracao, Ferida Contusa, Punctura",26.9,Dedo,31.4,"Metal - Inclui Liga Ferrosa e nao Ferrosa, Tu",15.1,25-34,26.9
4,Critico,25314,Produção de forjados de aço e de metais não ferrosos e suas ligas,C,Indústrias De Transformação,87.0,1.0,1.15,82.0,4.0,94.3,"Contusao, Esmagamento (Superficie Cutanea I",31.0,Dedo,58.6,"Metal - Inclui Liga Ferrosa e nao Ferrosa, Tu",24.1,25-34,43.7
4,Critico,25322,Produção de artefatos estampados de metal; metalurgia do pó,C,Indústrias De Transformação,402.0,0.0,0.0,366.0,32.0,91.0,"Corte, Laceracao, Ferida Contusa, Punctura",26.6,Dedo,34.8,"Metal - Inclui Liga Ferrosa e nao Ferrosa, Tu",10.4,35-44,28.4
4,Critico,25390,"Serviços de usinagem, solda, tratamento e revestimento em metais",C,Indústrias De Transformação,695.0,1.0,0.14,663.0,30.0,95.4,Fratura,23.9,Dedo,30.4,Impacto Sofrido por Pes. de Objeto Que Cai,9.2,35-44,26.3
4,Critico,25501,"Fabricação de equipamento bélico pesado, armas de fogo e munições",C,Indústrias De Transformação,50.0,0.0,0.0,41.0,9.0,82.0,"Corte, Laceracao, Ferida Contusa, Punctura",20.0,Dedo,42.0,"Motocicleta, Motoneta",24.0,35-44,44.0
4,Critico,25926,Fabricação de produtos de trefilados de metal,C,Indústrias De Transformação,264.0,0.0,0.0,246.0,17.0,93.2,"Corte, Laceracao, Ferida Contusa, Punctura",25.0,Dedo,39.0,Impacto de Pes. Contra Objeto em Movimento,8.0,25-34,34.5
