grau_risco,grau_risco_descricao,cnae_classe,cnae_descricao,cnae_secao,cnae_descricao_secao,rank_cbo,cbo_codigo,cbo_descricao,cbo_grande_grupo_codigo,cbo_grande_grupo_descricao,total_vinculos,total_vinculos_cnae,pct_vinculos_na_classe,ano_inicio,ano_fim
4,Critico,02209,Produção florestal - florestas nativas,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",1,632215,Trabalhador Da Exploração De Resinas,6,"Trabalhadores Agropecuários, Florestais E Da Pesca",522,1035.0,50.43,2022,2022
4,Critico,02209,Produção florestal - florestas nativas,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",2,621005,Trabalhador Agropecuário Em Geral,6,"Trabalhadores Agropecuários, Florestais E Da Pesca",137,1035.0,13.24,2022,2022
4,Critico,02209,Produção florestal - florestas nativas,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",3,622020,Trabalhador Volante Da Agricultura,6,"Trabalhadores Agropecuários, Florestais E Da Pesca",48,1035.0,4.64,2022,2022
4,Critico,02209,Produção florestal - florestas nativas,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",4,632125,"Trabalhador De Extração Florestal, Em Geral",6,"Trabalhadores Agropecuários, Florestais E Da Pesca",40,1035.0,3.86,2022,2022
4,Critico,02209,Produção florestal - florestas nativas,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",5,630110,Supervisor Da Área Florestal,6,"Trabalhadores Agropecuários, Florestais E Da Pesca",33,1035.0,3.19,2022,2022
4,Critico,02209,Produção florestal - florestas nativas,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",6,782510,Motorista De Caminhão (Rotas Regionais E Internacionais),7,Trabalhadores Da Produção De Bens E Serviços Industriais,19,1035.0,1.84,2022,2022
4,Critico,02209,Produção florestal - florestas nativas,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",7,632120,Operador De Motosserra,6,"Trabalhadores Agropecuários, Florestais E Da Pesca",16,1035.0,1.55,2022,2022
4,Critico,02209,Produção florestal - florestas nativas,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",8,642015,Operador De Trator Florestal,6,"Trabalhadores Agropecuários, Florestais E Da Pesca",13,1035.0,1.26,2022,2022
4,Critico,02209,Produção florestal - florestas nativas,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",9,411005,Auxiliar De Escritório,4,Trabalhadores De Serviços Administrativos,12,1035.0,1.16,2022,2022
4,Critico,02209,Produção florestal - florestas nativas,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",10,992225,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),9,Trabalhadores Em Serviços De Reparação E Manutenção,12,1035.0,1.16,2022,2022
4,Critico,05003,Extração de carvão mineral,B,Indústrias Extrativas,1,632605,Carvoeiro,6,"Trabalhadores Agropecuários, Florestais E Da Pesca",4,8.0,50.0,2022,2022
4,Critico,05003,Extração de carvão mineral,B,Indústrias Extrativas,2,411005,Auxiliar De Escritório,4,Trabalhadores De Serviços Administrativos,1,8.0,12.5,2022,2022
4,Critico,05003,Extração de carvão mineral,B,Indústrias Extrativas,3,311105,Técnico Químico,3,Técnicos De Nivel Médio,1,8.0,12.5,2022,2022
4,Critico,05003,Extração de carvão mineral,B,Indústrias Extrativas,4,142105,Gerente Administrativo,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes",1,8.0,12.5,2022,2022
4,Critico,05003,Extração de carvão mineral,B,Indústrias Extrativas,5,782305,Motorista De Carro De Passeio,7,Trabalhadores Da Produção De Bens E Serviços Industriais,1,8.0,12.5,2022,2022
4,Critico,06000,Extração de petróleo e gás natural,B,Indústrias Extrativas,1,142305,Gerente Comercial,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes",24,61.0,39.34,2022,2022
4,Critico,06000,Extração de petróleo e gás natural,B,Indústrias Extrativas,2,142330,Analista De Negócios,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes",9,61.0,14.75,2022,2022
4,Critico,06000,Extração de petróleo e gás natural,B,Indústrias Extrativas,3,411010,Assistente Administrativo,4,Trabalhadores De Serviços Administrativos,4,61.0,6.56,2022,2022
4,Critico,06000,Extração de petróleo e gás natural,B,Indústrias Extrativas,4,142410,Gerente De Suprimentos,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes",3,61.0,4.92,2022,2022
4,Critico,06000,Extração de petróleo e gás natural,B,Indústrias Extrativas,5,811310,Operador De Exploração De Petróleo,8,Trabalhadores Da Produção De Bens E Serviços Industriais,2,61.0,3.28,2022,2022
4,Critico,06000,Extração de petróleo e gás natural,B,Indústrias Extrativas,6,252545,Analista Financeiro (Instituições Financeiras),2,Profissionais Das Ciências E Das Artes,2,61.0,3.28,2022,2022
4,Critico,06000,Extração de petróleo e gás natural,B,Indústrias Extrativas,7,352205,Agente De Defesa Ambiental,3,Técnicos De Nivel Médio,2,61.0,3.28,2022,2022
4,Critico,06000,Extração de petróleo e gás natural,B,Indústrias Extrativas,8,410105,Supervisor Administrativo,4,Trabalhadores De Serviços Administrativos,2,61.0,3.28,2022,2022
4,Critico,06000,Extração de petróleo e gás natural,B,Indústrias Extrativas,9,142505,Gerente De Infraestrutura De Tecnologia Da Informação,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes",1,61.0,1.64,2022,2022
4,Critico,06000,Extração de petróleo e gás natural,B,Indústrias Extrativas,10,122725,Diretor De Compliance,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes",1,61.0,1.64,2022,2022
4,Critico,07103,Extração de minério de ferro,B,Indústrias Extrativas,1,715125,Operador De Máquinas De Construção Civil E Mineração,7,Trabalhadores Da Produção De Bens E Serviços Industriais,19,138.0,13.77,2022,2022
4,Critico,07103,Extração de minério de ferro,B,Indústrias Extrativas,2,514320,Faxineiro,5,"Trabalhadores Dos Serviços, Vendedores Do Comércio Em Lojas E Mercados",9,138.0,6.52,2022,2022
4,Critico,07103,Extração de minério de ferro,B,Indústrias Extrativas,3,784205,Alimentador De Linha De Produção,7,Trabalhadores Da Produção De Bens E Serviços Industriais,9,138.0,6.52,2022,2022
4,Critico,07103,Extração de minério de ferro,B,Indústrias Extrativas,4,414140,Auxiliar De Logistica,4,Trabalhadores De Serviços Administrativos,8,138.0,5.8,2022,2022
4,Critico,07103,Extração de minério de ferro,B,Indústrias Extrativas,5,411005,Auxiliar De Escritório,4,Trabalhadores De Serviços Administrativos,8,138.0,5.8,2022,2022
